"group";"sample.name";"sample.data";"type";"dilution";"conc";"OD"
NA;"";NA;"standard";NA;2;0,652199984
NA;"";NA;"standard";NA;1;0,383599997
NA;"";NA;"standard";NA;0,5;0,246700004
NA;"";NA;"standard";NA;0,25;0,169400007
NA;"";NA;"standard";NA;0,125;0,1241
NA;"";NA;"standard";NA;0,063;0,101899996
NA;"";NA;"standard";NA;0,031;0,086999997
NA;"";NA;"NC";NA;NA;0,078400001
NA;"";NA;"standard";NA;2;0,640399992
NA;"";NA;"standard";NA;1;0,389600009
NA;"";NA;"standard";NA;0,5;0,252299994
NA;"";NA;"standard";NA;0,25;0,1752
NA;"";NA;"standard";NA;0,125;0,128199995
NA;"";NA;"standard";NA;0,063;0,1039
NA;"";NA;"standard";NA;0,031;0,090099998
NA;"";NA;"NC";NA;NA;0,075300001
NA;"T1";NA;"sample";5;NA;0,223000005
NA;"T2";NA;"sample";5;NA;0,178000003
NA;"T3";NA;"sample";5;NA;0,2324
NA;"T4";NA;"sample";5;NA;0,208700001
NA;"T1";NA;"sample";10;NA;0,145999998
NA;"T2";NA;"sample";10;NA;0,131200001
NA;"T3";NA;"sample";10;NA;0,161500007
NA;"T4";NA;"sample";10;NA;0,145500004
NA;"T1";NA;"sample";5;NA;0,232199997
NA;"T2";NA;"sample";5;NA;0,185399994
NA;"T3";NA;"sample";5;NA;0,234599993
NA;"T4";NA;"sample";5;NA;0,220699996
NA;"T1";NA;"sample";10;NA;0,147799999
NA;"T2";NA;"sample";10;NA;0,134299994
NA;"T3";NA;"sample";10;NA;0,159899995
NA;"T4";NA;"sample";10;NA;0,146300003
NA;"T1";NA;"sample";5;NA;0,235300004
NA;"T2";NA;"sample";5;NA;0,185000002
NA;"T3";NA;"sample";5;NA;0,237599999
NA;"T4";NA;"sample";5;NA;0,217500001
NA;"T1";NA;"sample";10;NA;0,156399995
NA;"T2";NA;"sample";10;NA;0,133699998
NA;"T3";NA;"sample";10;NA;0,165399998
NA;"T4";NA;"sample";10;NA;0,150800005
