group;sample.name;sample.date;type;dilution;conc;OD
;;;standard;;5;NA
;;;standard;;2,5;1,855
;;;standard;;1,25;1,009
;;;standard;;0,625;0,477
;;;standard;;0,313;0,3
;;;standard;;0,156;0,163
;;;standard;;0,078;0,107
;;;NC;;;0,04
;;;standard;;5;3,286
;;;standard;;2,5;1,83
;;;standard;;1,25;0,943
;;;standard;;0,625;0,482
;;;standard;;0,313;0,261
;;;standard;;0,156;0,157
;;;standard;;0,078;0,104
;;;NC;;;0,039
;74;;sample;2;;1,578
;80;;sample;2;;0,07
;81;;sample;2;;0,444
;90;;sample;2;;0,074
;91;;sample;2;;0,064
;92;;sample;2;;0,065
;93;;sample;2;;0,098
;94;;sample;2;;0,15
;95;;sample;2;;0,073
;96;;sample;2;;0,312
;97;;sample;2;;0,467
;98;;sample;2;;0,057
;99;;sample;2;;0,115
;100;;sample;2;;0,06
;101;;sample;2;;0,059
;102;;sample;2;;0,074
;103;;sample;2;;1,85
;104;;sample;2;;0,073
;105;;sample;2;;0,07
;106;;sample;2;;0,305
;107;;sample;2;;0,06
;108;;sample;2;;0,073
;109;;sample;2;;0,09
;110;;sample;2;;1,297
;111;;sample;2;;0,099
;112;;sample;2;;0,073
;113;;sample;2;;0,117
;114;;sample;2;;0,06
;115;;sample;2;;0,104
;116;;sample;2;;0,068
;117;;sample;2;;0,125
;118;;sample;2;;0,101
;119;;sample;2;;0,088
;120;;sample;2;;0,058
;121;;sample;2;;0,124
;122;;sample;2;;0,106
;123;;sample;2;;0,09
;124;;sample;2;;0,089
;125;;sample;2;;0,481
;126;;sample;2;;0,071
;127;;sample;2;;0,066
;128;;sample;2;;0,076
;129;;sample;2;;0,242
;130;;sample;2;;0,052
;131;;sample;2;;0,075
;132;;sample;2;;0,075
;133;;sample;2;;0,063
;134;;sample;2;;0,057
;135;;sample;2;;0,068
;136;;sample;2;;0,087
;137;;sample;2;;0,089
;138;;sample;2;;0,078
;139;;sample;2;;0,096
;140;;sample;2;;0,071
;141;;sample;2;;0,105
;142;;sample;2;;0,058
;143;;sample;2;;0,094
;144;;sample;2;;0,054
;145;;sample;2;;0,094
;146;;sample;2;;0,069
;147;;sample;2;;0,067
;148;;sample;2;;0,072
;149;;sample;2;;2,119
;150;;sample;2;;0,128
;151;;sample;2;;0,063
;152;;sample;2;;0,1
;153;;sample;2;;0,074
;154;;sample;2;;0,073
;155;;sample;2;;0,07
;156;;sample;2;;0,073
;157;;sample;2;;0,072
;158;;sample;2;;0,073
;159;;sample;2;;0,07
;160;;sample;2;;0,528
;161;;sample;2;;3,5
;162;;sample;2;;0,092
;163;;sample;2;;0,172
;164;;sample;2;;0,062
;165;;sample;2;;0,193
;;;NC;;;0,041
